Repository, Dataset, Decision Function, Right, Wrong, Right silent, Wrong silent
pandas, FULL, TIME, 92, 440, 0, 130
pandas, RANDOM, RANDOM, 8, 137, 0, 0
pandas, RANDOM, TIME, 25, 84, 0, 36
pandas, RANDOM, RANDOM, 6, 139, 0, 0
pandas, RANDOM, TIME, 25, 84, 0, 36
pandas, RANDOM, RANDOM, 7, 138, 0, 0
pandas, RANDOM, TIME, 25, 84, 0, 36
pandas, SIMPLE, RANDOM, 0, 197, 2, 0
pandas, RANDOM, RANDOM, 8, 137, 0, 0
pandas, RANDOM, TIME, 25, 84, 0, 36
pandas, SIMPLE, RANDOM, 0, 197, 2, 0
pandas, SIMPLE, TIME, 0, 150, 49, 0
pandas, FULL, RANDOM, 38, 624, 0, 0
pandas, FULL, TIME, 92, 440, 0, 130
intellij-community, RANDOM, RANDOM, 447, 913, 0, 0
intellij-community, RANDOM, TIME, 299, 438, 0, 623
intellij-community, SIMPLE, RANDOM, 0, 3025, 135, 0
intellij-community, SIMPLE, TIME, 0, 1476, 1684, 0
intellij-community, FULL, RANDOM, 1185, 3785, 0, 0
intellij-community, FULL, TIME, 1199, 1908, 0, 1863
