Repository, Dataset, Decision Function, Right, Wrong, Right silent, Silent
pandas, RANDOM, RANDOM, 8, 136, 0, 0
pandas, RANDOM, TIME, 25, 84, 0, 36
pandas, RANDOM, SIMPLE_FORMULA, 22, 76, 0, 47
pandas, FULL, RANDOM, 28, 633, 0, 0
pandas, FULL, TIME, 92, 440, 0, 130
pandas, FULL, SIMPLE_FORMULA, 103, 409, 0, 150
intellij-community, RANDOM, RANDOM, 450, 909, 0, 0
intellij-community, RANDOM, TIME, 299, 438, 0, 623
intellij-community, RANDOM, SIMPLE_FORMULA, 323, 677, 0, 360
intellij-community, FULL, RANDOM, 1218, 3751, 0, 0
intellij-community, FULL, TIME, 1199, 1908, 0, 1863
intellij-community, FULL, SIMPLE_FORMULA, 1288, 2852, 0, 830
