Repository, Dataset, Decision Function, Right, Wrong, Right silent, Wrong silent
pandas, RANDOM, RANDOM, 10, 134, 0, 0
pandas, RANDOM, TIME, 28, 77, 0, 40
pandas, RANDOM, COMMIT_TIME, 32, 100, 0, 13
pandas, RANDOM, SIMPLE_FORMULA, 16, 82, 0, 47
pandas, RANDOM, WEIGHT, 34, 86, 0, 25
pandas, RANDOM, WEIGHT_NEW, 43, 77, 0, 25
pandas, RANDOM, WEIGHT_WITH_FILTER, 52, 71, 0, 22
pandas, FULL, RANDOM, 28, 633, 0, 0
pandas, FULL, TIME, 92, 440, 0, 130
pandas, FULL, COMMIT_TIME, 123, 514, 0, 25
pandas, FULL, SIMPLE_FORMULA, 103, 409, 0, 150
pandas, FULL, WEIGHT, 101, 312, 0, 249
pandas, FULL, WEIGHT_NEW, 138, 275, 0, 249
pandas, FULL, WEIGHT_WITH_FILTER, 234, 283, 0, 145
intellij-community, RANDOM, RANDOM, 442, 917, 0, 0
intellij-community, RANDOM, TIME, 295, 462, 0, 603
intellij-community, RANDOM, COMMIT_TIME, 219, 456, 0, 685
intellij-community, RANDOM, SIMPLE_FORMULA, 326, 676, 0, 358
intellij-community, RANDOM, WEIGHT, 481, 704, 0, 175
intellij-community, RANDOM, WEIGHT_NEW, 495, 690, 0, 175
intellij-community, RANDOM, WEIGHT_WITH_FILTER, 584, 519, 0, 257
intellij-community, FULL, RANDOM, 1215, 3754, 0, 0
intellij-community, FULL, TIME, 1199, 1908, 0, 1863
intellij-community, FULL, COMMIT_TIME, 977, 2080, 0, 1913
intellij-community, FULL, SIMPLE_FORMULA, 1288, 2852, 0, 830
intellij-community, FULL, WEIGHT, 1462, 2028, 0, 1480
intellij-community, FULL, WEIGHT_NEW, 1527, 1963, 0, 1480
intellij-community, FULL, WEIGHT_WITH_FILTER, 2168, 1868, 0, 934
kotlin, RANDOM, RANDOM, 72, 613, 0, 0
kotlin, RANDOM, TIME, 144, 274, 0, 268
kotlin, RANDOM, COMMIT_TIME, 192, 365, 0, 129
kotlin, RANDOM, SIMPLE_FORMULA, 176, 336, 0, 174
kotlin, RANDOM, WEIGHT, 221, 316, 0, 149
kotlin, RANDOM, WEIGHT_NEW, 212, 325, 0, 149
kotlin, RANDOM, WEIGHT_WITH_FILTER, 309, 251, 0, 126
kotlin, FULL, RANDOM, 225, 3119, 0, 0
kotlin, FULL, TIME, 747, 1567, 0, 1031
kotlin, FULL, COMMIT_TIME, 926, 2111, 0, 308
kotlin, FULL, SIMPLE_FORMULA, 965, 1896, 0, 484
kotlin, FULL, WEIGHT, 739, 1124, 0, 1482
kotlin, FULL, WEIGHT_NEW, 752, 1111, 0, 1482
kotlin, FULL, WEIGHT_WITH_FILTER, 1458, 1134, 0, 753
intellij-rust, RANDOM, RANDOM, 54, 190, 0, 0
intellij-rust, RANDOM, TIME, 78, 109, 0, 58
intellij-rust, RANDOM, COMMIT_TIME, 63, 110, 0, 72
intellij-rust, RANDOM, SIMPLE_FORMULA, 74, 131, 0, 40
intellij-rust, RANDOM, WEIGHT, 94, 108, 0, 43
intellij-rust, RANDOM, WEIGHT_NEW, 100, 102, 0, 43
intellij-rust, RANDOM, WEIGHT_WITH_FILTER, 121, 88, 0, 36
intellij-rust, FULL, RANDOM, 155, 944, 0, 0
intellij-rust, FULL, TIME, 286, 584, 0, 230
intellij-rust, FULL, COMMIT_TIME, 259, 614, 0, 227
intellij-rust, FULL, SIMPLE_FORMULA, 374, 632, 0, 94
intellij-rust, FULL, WEIGHT, 253, 364, 0, 483
intellij-rust, FULL, WEIGHT_NEW, 303, 314, 0, 483
intellij-rust, FULL, WEIGHT_WITH_FILTER, 442, 374, 0, 284
